year,avg,state
1986,7.921166666666667,Colorado
1987,7.328416666666668,Colorado
1988,7.231583333333334,Colorado
1989,7.335833333333333,Colorado
1990,7.4715,Colorado
1991,7.192666666666667,Colorado
1992,7.28925,Colorado
1993,6.491083333333333,Colorado
1994,7.988833333333332,Colorado
1995,7.518083333333332,Colorado
1996,7.524,Colorado
1997,7.048166666666667,Colorado
1998,7.808333333333333,Colorado
1999,8.016166666666667,Colorado
2000,8.204833333333333,Colorado
2001,8.142916666666666,Colorado
2002,7.7209166666666675,Colorado
2003,8.253666666666668,Colorado
2004,7.617416666666666,Colorado
2005,8.102083333333333,Colorado
2006,7.9735000000000005,Colorado
2007,7.827916666666667,Colorado
2008,7.088583333333333,Colorado
2009,7.219166666666666,Colorado
2010,7.758666666666667,Colorado
2011,7.392250000000001,Colorado
2012,8.991999999999999,Colorado
2013,9.40311111111111,Colorado
1980,9.267666666666665,Connecticut
1981,9.458333333333334,Connecticut
1982,9.307,Connecticut
1983,10.126583333333334,Connecticut
1984,9.912249999999998,Connecticut
1985,9.713,Connecticut
1986,9.614083333333332,Connecticut
1987,9.677166666666666,Connecticut
1988,9.481499999999999,Connecticut
1989,9.231416666666666,Connecticut
1990,10.831249999999999,Connecticut
1991,10.796999999999999,Connecticut
1992,9.050166666666668,Connecticut
1993,9.55275,Connecticut
1994,9.621833333333333,Connecticut
1995,9.803083333333332,Connecticut
1996,9.3675,Connecticut
1997,9.587166666666667,Connecticut
1998,11.117166666666668,Connecticut
1999,10.844666666666667,Connecticut
2000,9.581,Connecticut
2001,10.547333333333334,Connecticut
2002,10.722916666666665,Connecticut
2003,9.429833333333333,Connecticut
2004,9.707416666666667,Connecticut
2005,10.121,Connecticut
2006,11.025416666666667,Connecticut
2007,10.097666666666667,Connecticut
2008,10.328499999999998,Connecticut
2009,9.744250000000001,Connecticut
2010,11.057416666666667,Connecticut
2011,10.831166666666666,Connecticut
2012,11.633416666666667,Connecticut
2013,11.596888888888891,Connecticut
1980,12.208083333333335,Delaware
1981,12.031333333333334,Delaware
1982,12.141,Delaware
1983,12.692166666666667,Delaware
1984,12.513083333333332,Delaware
1985,12.85125,Delaware
1986,12.662999999999998,Delaware
1987,12.555416666666666,Delaware
1988,11.984500000000002,Delaware
1989,12.1145,Delaware
1990,13.723833333333337,Delaware
1991,13.639166666666668,Delaware
1992,11.984166666666667,Delaware
1993,12.484916666666669,Delaware
1994,12.491583333333333,Delaware
1995,12.576749999999999,Delaware
1996,11.957500000000001,Delaware
1997,12.441416666666667,Delaware
1998,13.89033333333333,Delaware
1999,13.328999999999999,Delaware
2000,12.347583333333334,Delaware
2001,13.097999999999999,Delaware
2002,13.62675,Delaware
2003,12.114833333333335,Delaware
2004,12.72358333333333,Delaware
2005,12.74825,Delaware
2006,13.668333333333331,Delaware
2007,13.013,Delaware
2008,13.05175,Delaware
2009,12.540583333333336,Delaware
2010,13.313333333333333,Delaware
2011,13.689666666666662,Delaware
2012,14.090166666666667,Delaware
2013,14.044,Delaware
1980,12.22033333333333,District Of Columbia
1981,12.000333333333332,District Of Columbia
1982,12.15625,District Of Columbia
1983,12.475749999999998,District Of Columbia
1984,12.424333333333335,District Of Columbia
1985,12.789583333333333,District Of Columbia
1986,12.653583333333335,District Of Columbia
1987,12.775083333333333,District Of Columbia
1988,12.141333333333336,District Of Columbia
1989,11.921749999999998,District Of Columbia
1990,13.745333333333335,District Of Columbia
1991,13.758750000000001,District Of Columbia
1992,11.956583333333334,District Of Columbia
1993,12.390416666666667,District Of Columbia
1994,12.455333333333334,District Of Columbia
1995,12.553083333333332,District Of Columbia
1996,11.847166666666666,District Of Columbia
1997,12.357416666666666,District Of Columbia
1998,14.073583333333332,District Of Columbia
1999,13.189000000000002,District Of Columbia
2000,12.277750000000003,District Of Columbia
2001,12.993583333333333,District Of Columbia
2002,13.463583333333334,District Of Columbia
2003,12.072750000000001,District Of Columbia
2004,12.786583333333333,District Of Columbia
2005,12.818666666666667,District Of Columbia
2006,13.588583333333332,District Of Columbia
2007,13.133416666666667,District Of Columbia
2008,12.763999999999998,District Of Columbia
2009,12.437666666666667,District Of Columbia
2010,13.280833333333334,District Of Columbia
2011,13.557250000000002,District Of Columbia
2012,13.996583333333334,District Of Columbia
2013,14.187666666666665,District Of Columbia
1980,21.6735,Florida
1981,21.313166666666664,Florida
1982,22.503249999999998,Florida
1983,21.285333333333334,Florida
1984,21.64991666666667,Florida
1985,22.06883333333333,Florida
1986,22.43541666666667,Florida
1987,21.680000000000003,Florida
1988,21.440583333333333,Florida
1989,22.08083333333333,Florida
1990,22.9015,Florida
1991,22.505666666666666,Florida
1992,21.686333333333334,Florida
1993,21.746666666666666,Florida
1994,22.414333333333335,Florida
1995,22.006916666666665,Florida
1996,21.548083333333334,Florida
1997,22.26075,Florida
1998,22.955249999999996,Florida
1999,22.27191666666666,Florida
2000,21.951999999999998,Florida
2001,22.157083333333333,Florida
2002,22.431166666666666,Florida
2003,22.178916666666666,Florida
2004,22.140916666666666,Florida
2005,22.105500000000003,Florida
2006,22.392,Florida
2007,22.588083333333334,Florida
2008,22.106583333333333,Florida
2009,22.291583333333335,Florida
2010,21.280666666666665,Florida
2011,22.595916666666668,Florida
2012,22.680833333333336,Florida
2013,23.033666666666665,Florida
1980,17.658833333333334,Georgia (State)
1981,17.287249999999997,Georgia (State)
1982,18.174833333333332,Georgia (State)
1983,17.06475,Georgia (State)
1984,17.844583333333333,Georgia (State)
1985,18.10825,Georgia (State)
1986,18.7455,Georgia (State)
1987,17.787583333333334,Georgia (State)
1988,17.31616666666667,Georgia (State)
1989,17.769,Georgia (State)
1990,19.14425,Georgia (State)
